"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0257708415419448,1.81031837124301e-08,0.00919949149753732,18.2545953559627,NA,3.10343093941071e-08,NA,0.0413922954695808
"phyt_s",NA,NA,2.88203545735791,4.31342446258308,NA,0.0514334832950196,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0632767138617911,NA,NA
"omnivzoo",NA,NA,2.15921650932189,3.39951116855667,NA,3.36201167091814e-05,NA,NA
"carnzoo",NA,NA,0.154454744136563,1.0886426543246,NA,0.00020909435915273,NA,0.0035694203003532
"fishplar",NA,NA,0.314835597421834,6.39762194276937,NA,4.11158077458376e-06,NA,NA
"fishdlar",NA,NA,0.232310910070292,2.03529140993225,NA,5.77462779278131e-07,NA,NA
"fishp",NA,NA,0.133338798236764,2.12234332387825,NA,1.90787598482082e-05,0.00157968153285323,0.874205550890627
"fishm",NA,NA,0.0332618592721381,2.26863983142284,NA,1.69013079856939e-06,3.53398508510362e-05,0.68505256173533
"fishd",NA,NA,0.0109500147215341,0.525426476341695,NA,3.77568793219531e-05,0.00220032351192749,0.897812046447367
"benthslar",NA,NA,0.334051482583949,1.03579142364405,NA,9.62000510993643e-06,NA,NA
"benthclar",NA,NA,0.99244592986707,2.37104271949559,NA,2.53646192827439e-07,NA,NA
"benths",NA,NA,0.910884772587014,1.72581364413272,NA,0.000366945642201519,NA,0.0303588457472962
"benthc",NA,NA,0.026773935219322,9.01259071265607,NA,0.000397027860970551,NA,0.154296356469133
"bird",NA,NA,0.793809994,1.000032668,9415.520511,0.04970643,0.00974893553721319,0.099846696923646
"seal",NA,NA,0.416472279,1.582741102,4056.226312,0.005063334,0.00984424628821458,0.0991464186557202
"ceta",NA,NA,0.500386085,0.519813567,1281.382578,0.001302521,0.00997195975806823,0.31341199119795
