Gear type,Pelagic fish,Quota-limited demersal fish,Non-quota demersal fish,Migratory fish,Susp/deposit feeding benthos,Carn/scavenge feeding benthos,Pelagic invertebrates,Birds,Seals,Cetaceans,Kelp
Pelagic trawl & TR3,165,1133,1317,507,704,1871,2398,0,0,0,0
Pelagic seine,165,1133,1317,507,704,1871,2398,0,0,0,0
Long line mackerel,165,1133,1317,507,704,1871,2398,0,0,0,0
Beam trawl,165,1133,1317,507,704,1871,2398,0,0,0,0
Demersal seine,165,1133,1317,507,704,1871,2398,0,0,0,0
Demersal otter trawl TR2,165,1133,1317,507,704,1871,2398,0,0,0,0
Demersal gillnet & long line,165,1133,1317,507,704,1871,2398,0,0,0,0
Shrimp beam trawl,165,1133,1317,507,704,1622,2398,0,0,0,0
Nephrops trawl TR2,165,1133,1317,507,704,2175,2398,0,0,0,0
Creels,165,1133,1317,507,704,10000,2398,0,0,0,0
Scallop dredge,165,1133,1317,507,1432,1871,2398,0,0,0,0
unassigned,165,1133,1317,507,704,1871,2398,0,0,0,0
mMN_per_gWW,2.037735849,1.295597484,1.295597484,2.314465409,0.503144654,1.006289308,1.257861635,2.51572327,2.51572327,2.51572327,2.07
