Gear_name,Gear_code,Activity_(s/m2/d),Plough_rate_(m2/s)
Pelagic_Trawl+Seine,PTS,2.17335E-06,0
Otter30-70mm+TR3(sandeel+sprat),SST,4.23153E-06,8.8
Longline_mackerel,LLm,1.68333E-06,0
Beam_Trawl_BT1+BT2,BTf,1.14886E-05,54.1
Demersal_Seine,DS,1.71984E-08,22.4
Demersal_Otter_Trawl_TR1,OT,2.15899E-05,17.1
Gill_Nets+Longline_demersal,LLd,7.91573E-06,0
Beam_Trawl_shrimp,BTs,1.26950E-05,13.5
Nephrops_Trawl_TR3,NT,1.71988E-05,78.9
Creels,CR,2.40395E-05,0
Mollusc_Dredge,MD,3.10646E-06,22.4
Whaler,Wh,1.98118E-08,0
