consumer,assimilation_efficiency,background_metabolic_rate,annual_weight_specific_fecundity,threshold_exploitable_biomass,minimum_inedible_biomass
kelp,NA,NA,NA,1,NA
phyt,NA,NA,NA,NA,NA
omnivzoo,0.34,1.00E-02,NA,NA,NA
carnzoo,0.34,5.00E-03,NA,4,1
fishplar,0.34,5.00E-05,NA,NA,NA
fishdlar,0.34,5.00E-05,NA,NA,NA
fishp,0.275,1.40E-03,0.25,0.1,NA
fishm,0.25,4.00E-04,NA,0.1,NA
fishd,0.25,8.20E-04,0.25,0.1,NA
benthslar,0.34,1.00E-02,NA,NA,NA
benthclar,0.34,1.00E-02,NA,NA,NA
benths,0.34,1.00E-02,0.1,20,NA
benthc,0.34,1.00E-03,0.4,1,NA
bird,0.15,5.50E-03,NA,0.0006,NA
seal,0.15,2.80E-03,NA,0.002,NA
ceta,0.15,5.00E-03,NA,0.03,NA
