Gear_name,Gear_code,Disc_prop_PF,Disc_prop_DF,Disc_prop_MF,Disc_prop_FDB,Disc_prop_CSB,Disc_prop_CZ,Disc_prop_BM,Land_prop_PF,Land_prop_DF,Land_prop_MF,Land_prop_FDB,Land_prop_CSB,Land_prop_CZ,Land_prop_BM
Pelagic_Trawl+Otter30-70mm+TR3(sandeel_trawl),PT,0.008202736,0.001815167,0.006009155,8.98938E-08,0.00067964,0,0,0.955715838,0.002695248,0.772025737,0,0.005620184,0,0
Pelagic_Seine,PS,0,1.41464E-06,0,0,0,0,0,0.025118278,3.79361E-05,0.205239236,0,0,0,0
Longline_mackerel,LLm,0,2.9856E-07,0,0,3.51288E-09,0,0,0,2.81166E-05,0.007873413,3.10536E-06,7.80923E-05,0,0
Beam_Trawl_BT1+BT2,BTf,7.71131E-05,0.25052185,0,1.11847E-05,0.001450359,0,0,3.86726E-05,0.197902643,0,0.000693522,0.007005123,0,0
Demersal_Seine,DS,0,0,0,0,0,0,0,1.02435E-05,8.02356E-05,0,0,5.22428E-07,0.002866699,0
Demersal_Otter_Trawl_TR1,OT,0.00853589,0.02052948,0,0,0.003374664,0,0,0.000752034,0.313058199,0.0013592,0.001322665,0.013933145,0.88389871,0
Longline+Gill_Nets_demersal,LLd,1.00005E-05,0.000911511,0,2.01458E-07,0.000758603,0,1,0.000207215,0.026874908,0,0.000398241,0.000447343,0,0
Beam_Trawl_shrimp,BTs,0.000152027,0.030664069,0,0,0.406077873,0,0,0.000207885,0.000917473,0,7.32723E-06,0.297568806,0,0
Nephrops_Trawl_TR3,NT,0.000160671,0.093124512,0.000697257,2.68177E-05,0.010791164,0,0,0.000702199,0.060587666,0.006796001,0.000465326,0.178224929,0.113234591,0
Creels,CR,6.72342E-08,1.6899E-06,0,0,1.32751E-07,0,0,5.7374E-05,0.000180436,0,0.001907468,0.073956913,0,0
Mollusc_Dredges,MD,0,3.23258E-05,0,0.00563011,0,0,0,5.1757E-05,3.48219E-05,0,0.989533941,3.25046E-05,0,0
Unassigned,ua,0,0,0,0,0,0,0,0,0,0,0,0,0,0
