surfnitratemMm3,deepnitratemMm3,surfammoniamMm3,deepammoniamMm3,surfchlmgm3,omnizoomMNm3,carnzoomMNm3
11.82487933,7.795607269,1.976445414,0.604528354,0.205059798,0.068973783,0.046483611
9.913797494,7.682604165,1.391057099,0.580492515,0.603824911,0.077094934,0.053055573
13.44143044,8.178052193,2.01284125,0.727791582,0.691930952,0.135207929,0.051395485
7.48308292,5.252096705,1.437524217,0.71142245,1.434119877,0.405414821,0.057235334
3.486690491,4.044359091,1.504219741,1.125225869,0.981961207,0.995240114,0.076345283
2.178312237,2.305243293,2.470568369,1.557104402,0.602810485,1.314015223,0.112277721
1.803987695,2.811842053,1.764538942,1.469787577,0.994759771,1.381994071,0.120222752
1.175353947,2.185114329,1.211150079,1.199045296,1.260428229,1.182509355,0.104759571
2.176129395,2.925767277,2.433372982,1.466698683,0.681108623,0.852832789,0.157463629
3.311694394,3.491993646,2.908422683,0.991522452,0.352773021,0.524353648,0.108920106
6.599930318,5.592664759,3.276310234,1.485832812,0.476151843,0.210249235,0.097935158
11.65250442,6.908810695,2.825876875,0.742793805,0.418489103,0.122649123,0.057233859
