Month,median,17centile,83centile
Jan,11.82487933,7.410212946,20.34478699
Feb,9.913797494,7.490211453,11.6970927
Mar,13.44143044,7.336235768,22.54961229
Apr,7.48308292,3.633327457,13.30846044
May,3.486690491,1.532215531,8.791334116
Jun,2.178312237,0.77435449,4.707214958
Jul,1.803987695,0.788690605,5.255678745
Aug,1.175353947,0.644635977,2.404234555
Sep,2.176129395,1.035985188,4.972037266
Oct,3.311694394,1.992485965,5.521953114
Nov,6.599930318,4.895905178,9.793420367
Dec,11.65250442,6.54101601,18.66234351
