Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3
Pelagic_Trawl+Seine,PTS,0.002306225,0.022318976,0.185656587,0.056603194,0.004080129,0.361774745,0.332384588,0.034875556
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,0.001633992,0.04193667,0.188458946,0.099262077,0.003321046,0.220287804,0.422211473,0.022887992
Longline_mackerel,LLm,0.002585154,0.019179084,0.133399784,0.004641906,0.002198504,0.048115715,0.786223605,0.003656248
Beam_Trawl_BT1+BT2,BTf,0,0.010312589,0.555813846,0.051585249,0,0.157913808,0.218317865,0.006056644
Demersal_Seine,DS,0.010771788,0.041737583,0.248083502,0.039262834,0.015696502,0.231612624,0.369537149,0.043298018
Demersal_Otter_Trawl_TR1,OT,0.003831778,0.005541356,0.079110691,0.086768094,0.009586108,0.304954055,0.473515189,0.036692729
Gill_Nets+Longline_demersal,LLd,0.017572358,0.011517676,0.38187595,0.30671086,0.009678597,0.057548393,0.20548174,0.009614425
Beam_Trawl_shrimp,BTs,0,0.041352126,0.867935524,0.061227227,0,0.018971038,0.010212163,0.000301922
Nephrops_Trawl_TR2,NT,0,0.11374127,0,0,0,0.88625873,0,0
Creels,CR,0.014753902,0.048364874,0.189956484,0.166975262,0.023811479,0.050290622,0.421368434,0.084478943
Mollusc_Dredge,MD,0,0.011387932,0.256452976,0.092935228,0,0.050849069,0.491480205,0.09689459
Whaler,Wh,0,0,0,0,0,0.2,0.8,0
