Value,Description
100,Planktivorous_fish_spawning_start_day
250,Planktivorous_fish_spawning_duration_(days)
1,Planktivorous_fish_recruitment_start_day
150,Planktivorous_fish_recruitment_duration_(days)
60,Demersal_fish_spawning_start_day
90,Demersal_fish_spawning_duration_(days)
200,Demersal_fish_recruitment_start_day
150,Demersal_fish_recruitment_duration_(days)
60,Susp/dep_benthos_spawning_start_day
150,Susp/dep_benthos_spawning_duration_(days)
180,Susp/dep_benthos_recruitment_start_day
120,Susp/dep_benthos_recruitment_duration_(days)
60,Carn/scav_benthos_spawning_start_day
150,Carn/scav_benthos_spawning_duration_(days)
180,Carn/scav_benthos_recruitment_start_day
120,Carn/scav_benthos_recruitment_duration_(days)
1,Migratory_fish_switch_(0=off_1=on)
3800000,Migratory_fish_ocean_biomass_(Tonnes_wet_weight)
0.184,Migratory_fish_carbon_to_wet_weight_(g/g)
485604.9752,Model_domain_sea_surface_area_(km2)
0.66,Propn_of_ocean_population_entering_model_domain_each_year
210,Immigration_start_day
330,Immigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
0.1,Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate
15,Emigration_start_day
45,Emigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
